categoria_tarifaria,anel,cemiterios_n,cemiterios_com_valor_n,mediana_das_medianas_cemiteriais,q1_das_medianas_cemiteriais,q3_das_medianas_cemiteriais,min_das_medianas_cemiteriais,max_das_medianas_cemiteriais
1,0-250m,6,6,5038.5,4523.12,7814.0,2894.0,15625.0
1,250-500m,6,6,5518.25,4659.12,8042.0,3063.0,13445.0
1,500-1000m,6,6,7211.0,4672.38,9998.25,3338.0,11776.0
2,0-250m,7,7,1925.0,1576.75,2269.75,1502.0,3713.0
2,250-500m,7,7,2016.0,1617.25,2340.0,1454.0,3992.0
2,500-1000m,7,7,1832.0,1610.0,2261.5,1365.0,3635.0
3,0-250m,6,6,895.25,462.88,1310.75,320.0,1412.0
3,250-500m,6,6,887.5,457.75,1384.38,320.0,1641.0
3,500-1000m,6,6,906.0,646.0,1205.38,320.0,1452.0
4,0-250m,3,3,1606.0,1235.25,1660.75,864.5,1715.5
4,250-500m,3,3,1580.0,1233.0,1640.5,886.0,1701.0
4,500-1000m,3,3,1530.0,1304.5,1589.5,1079.0,1649.0
