id_equipamento,nome_oficial,tipo,bloco_concessao,concessionaria,area_territorial_m2,cobertura_vegetal_m2,cobertura_vegetal_percentual,categorias_area_m2_json,categorias_descricao_json,referencia_imagens,fonte_cobertura_vegetal
cem_santana,Cemitério Santana (Chora Menino),cemiterio,1,Consolare,41425.204,20525.02,49.5472,"{""na"": 20525.02}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_vila_formosa_i,Cemitério Vila Formosa I,cemiterio,1,Consolare,373387.695,235493.342,63.0694,"{""na"": 235493.342}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_vila_formosa_ii,Cemitério Vila Formosa II,cemiterio,1,Consolare,300363.48,165903.031,55.2341,"{""na"": 165903.031}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_vila_mariana,Cemitério Vila Mariana,cemiterio,1,Consolare,63421.017,39515.6,62.3068,"{""na"": 39515.6}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_consolacao,Cemitério da Consolação,cemiterio,1,Consolare,69220.547,42364.777,61.2026,"{""na"": 42364.777}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_quarta_parada,Cemitério da Quarta Parada,cemiterio,1,Consolare,169440.942,39258.28,23.1693,"{""na"": 39258.28}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_tremembe,Cemitério do Tremembé,cemiterio,1,Consolare,64912.726,23004.967,35.4398,"{""na"": 23004.967}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_dom_bosco,Cemitério Dom Bosco,cemiterio,2,Cortel SP,224577.305,157591.467,70.1725,"{""na"": 157591.467}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_santo_amaro,Cemitério Santo Amaro,cemiterio,2,Cortel SP,29896.431,8908.304,29.7972,"{""na"": 8908.304}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_sao_paulo,Cemitério São Paulo,cemiterio,2,Cortel SP,102400.574,36763.461,35.9016,"{""na"": 36763.461}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_vila_nova_cachoeirinha,Cemitério Vila Nova Cachoeirinha,cemiterio,2,Cortel SP,231460.667,180999.654,78.1989,"{""na"": 180999.654}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_araca,Cemitério do Araçá,cemiterio,2,Cortel SP,221429.873,92563.347,41.8026,"{""na"": 92563.347}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_campo_grande,Cemitério Campo Grande,cemiterio,3,Grupo Maya,110607.455,66089.767,59.7516,"{""na"": 66089.767}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_lapa,Cemitério da Lapa,cemiterio,3,Grupo Maya,110241.855,44315.435,40.1984,"{""na"": 44315.435}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_saudade,Cemitério da Saudade,cemiterio,3,Grupo Maya,131382.446,89885.951,68.4155,"{""na"": 89885.951}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_parelheiros,Cemitério de Parelheiros,cemiterio,3,Grupo Maya,5428.486,3901.826,71.8769,"{""na"": 3901.826}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_lageado,Cemitério do Lageado,cemiterio,3,Grupo Maya,54982.115,39595.359,72.015,"{""na"": 39595.359}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_sao_luiz,Cemitério São Luiz,cemiterio,4,Velar SP,235332.92,213418.173,90.6878,"{""na"": 213418.173}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_sao_pedro,Cemitério São Pedro,cemiterio,4,Velar SP,223941.397,136028.895,60.7431,"{""na"": 136028.895}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_freguesia_do_o,Cemitério da Freguesia do Ó,cemiterio,4,Velar SP,14420.431,8364.811,58.0067,"{""na"": 8364.811}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_penha,Cemitério da Penha,cemiterio,4,Velar SP,16261.302,10689.565,65.7362,"{""na"": 10689.565}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
cem_itaquera,Cemitério de Itaquera,cemiterio,4,Velar SP,111866.265,93466.367,83.5519,"{""na"": 93466.367}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
crem_vila_alpina,Crematório Vila Alpina,crematorio,4,Velar SP,53515.717,40952.354,76.524,"{""na"": 40952.354}","{""na"": ""Categoria não identificada""}",2017/2018,geoportal:cobertura_vegetal
