id_equipamento,nome_oficial,tipo,unidade_memorial_contratual,bloco_concessao,concessionaria,endereco_oficial,cep_publicado,cep_normalizado,categoria_tarifaria,destino_gratuidade_hipossuficiencia,modalidade_gratuita,tarifa_sepultamento_avulso_2026,referencia_tarifaria,fonte_endereco,fonte_bloco,fonte_categoria,fonte_gratuidade,observacoes,feature_ids_geosampa,nome_geosampa,endereco_geosampa,cep_geosampa,notas_mapeamento,area_m2_31983,perimetro_m_31983,centroide_x_31983,centroide_y_31983,centroide_longitude,centroide_latitude,metodo_geometria,metodo_ponto
cem_consolacao,Cemitério da Consolação,cemiterio,Consolação,1,Consolare,"Rua da Consolação, 1660",01302-001,01302-001,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160034,CONSOLAÇÃO,"RUA DA CONSOLAÇÃO, 1660",01302-001,,69220.547,1408.565,330830.535,7394543.138,-46.65737263,-23.55065328,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_quarta_parada,Cemitério da Quarta Parada,cemiterio,Quarta Parada,1,Consolare,"Avenida Salim Farah Maluf, 3303",03303-010,03303-010,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160026,QUARTA PARADA,"AV. SALIM FARAH MALUF, 3303",02350-002,,169440.942,1819.932,338558.464,7395050.021,-46.58162939,-23.54686475,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_santana,Cemitério Santana (Chora Menino),cemiterio,Santana,1,Consolare,"Rua Nova dos Portugueses, 141",02462-080,02462-080,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160025,SANTANA,"R. NOVA DOS PORTUGUESES, 141",02350-002,,41425.204,815.077,332625.852,7400521.444,-46.63912058,-23.4968608,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_tremembe,Cemitério do Tremembé,cemiterio,Tremembé,1,Consolare,"Avenida Maria Amália Lopes de Azevedo, 2930",02350-003,02350-003,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160030,TREMEMBÉ,"R. MARIA AMALIA LOPES AZEVEDO, 2930",02350-002,,64912.726,1294.437,336653.059,7404898.572,-46.59921695,-23.457748,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_vila_formosa_i,Cemitério Vila Formosa I,cemiterio,Vila Formosa I e II,1,Consolare,"Avenida Flor de Vila Formosa, s/n",03366-010,03366-010,4,True,sepultamento,592.95,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"Vila Formosa I e II compartilham um memorial contratual, mas são pontos operacionais distintos.",equipamento_cemiterio.160038,VILA FORMOSA 1,"AV. FLOR DE VILA FORMOSA, S/N",03366-010,,373387.695,2817.05,343945.963,7392979.234,-46.52907971,-23.56609073,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_vila_formosa_ii,Cemitério Vila Formosa II,cemiterio,Vila Formosa I e II,1,Consolare,"Avenida João XXIII, 2537",,,4,True,sepultamento,592.95,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"Vila Formosa I e II compartilham um memorial contratual, mas são pontos operacionais distintos. CEP a confirmar no GeoSampa.",equipamento_cemiterio.160037,VILA FORMOSA 2,"AV. JOÃO XXIII, 2537",03361-000,,300363.48,2616.122,344375.85,7393505.968,-46.52481377,-23.56137592,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_vila_mariana,Cemitério Vila Mariana,cemiterio,Vila Mariana,1,Consolare,"Avenida Lacerda Franco, 2012",01536-001,01536-001,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160021,VILA MARIANA,"AV. LACERDA FRANCO, 2012",01536-001,,63421.017,1169.57,333959.37,7391375.611,-46.62708106,-23.57957692,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_araca,Cemitério do Araçá,cemiterio,Araçá,2,Cortel SP,"Avenida Doutor Arnaldo, 300",01246-000,01246-000,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160022,ARAÇÁ,"AV. DR. ARNALDO, 666",01255-000,,221429.873,2345.094,329422.572,7394330.309,-46.67118636,-23.55242733,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_dom_bosco,Cemitério Dom Bosco,cemiterio,Dom Bosco,2,Cortel SP,"Estrada do Pinheirinho, 860",05215-000,05215-000,3,True,sepultamento,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160031,DOM BOSCO,"ESTRADA DO PINHEIRINHO, 860",05215-000,,224577.305,1933.046,321816.361,7411984.598,-46.74358357,-23.39221361,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_santo_amaro,Cemitério Santo Amaro,cemiterio,Santo Amaro,2,Cortel SP,"Rua Ministro Roberto Cardoso Alves, 186",04737-000,04737-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160020,SANTO AMARO,"R. MIN. ROBERTO CARDOSO ALVES, 186",04737-000,,29896.431,802.785,326552.974,7383212.265,-46.70058535,-23.65250487,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
