unidade_analise,id_equipamento,nome_oficial,tipo,complexo,bloco_concessao,concessionaria,categoria_tarifaria,destino_gratuidade_hipossuficiencia,anel,distancia_interna_m,distancia_externa_m,area_anel_m2,quadras_intersectadas,quadras_com_pgv,quadras_sem_pgv,registros_face_pgv,cobertura_area_quadras_pgv_pct,cobertura_area_anel_por_quadras_pct,vm2t_faces_mediana,vm2t_faces_q1,vm2t_faces_q3,vm2t_faces_min,vm2t_faces_max,vm2t_mediana_das_quadras,vm2t_media_quadras_ponderada_area,nome_geosampa,endereco_geosampa,bairro_geosampa,cep_geosampa,feature_ids_geosampa,numero_feicoes,classificacao_preliminar,status_validacao
cemiterio_particular_candidato,priv_geosampa_01,Cemitério Da Colônia,cemiterio_particular_candidato,,,,,,0-250m,0,250,250709.97,15,7,8,21,5.22,86.47,320.0,320.0,320.0,320.0,320.0,320.0,320.0,DA COLÔNIA,"RUA SACHIO NAKAO, 28",COLÔNIA,04892-170,equipamento_cemiterio.160001,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_01,Cemitério Da Colônia,cemiterio_particular_candidato,,,,,,250-500m,250,500,642555.19,15,8,7,26,8.78,94.77,320.0,320.0,320.0,320.0,320.0,320.0,320.0,DA COLÔNIA,"RUA SACHIO NAKAO, 28",COLÔNIA,04892-170,equipamento_cemiterio.160001,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_01,Cemitério Da Colônia,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,2461251.62,12,2,10,7,0.32,95.91,320.0,320.0,320.0,320.0,320.0,320.0,320.0,DA COLÔNIA,"RUA SACHIO NAKAO, 28",COLÔNIA,04892-170,equipamento_cemiterio.160001,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_02,Cemitério Da Paz,cemiterio_particular_candidato,,,,,,0-250m,0,250,551938.93,47,47,0,195,100.0,75.84,2051.0,1967.0,2202.5,715.0,2799.0,2025.5,2046.86,DA PAZ,"RUA DR. LUIZ MIGLIANO, 644",JARDIM VAZANI,05711-000,equipamento_cemiterio.160002,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_02,Cemitério Da Paz,cemiterio_particular_candidato,,,,,,250-500m,250,500,937944.95,85,84,1,352,99.76,77.29,2015.0,1830.25,2074.75,530.0,3156.0,2017.25,1970.9,DA PAZ,"RUA DR. LUIZ MIGLIANO, 644",JARDIM VAZANI,05711-000,equipamento_cemiterio.160002,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_02,Cemitério Da Paz,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,3050826.69,155,154,1,603,99.9,70.05,1742.0,1145.5,1991.0,488.0,3177.0,1742.0,1673.86,DA PAZ,"RUA DR. LUIZ MIGLIANO, 644",JARDIM VAZANI,05711-000,equipamento_cemiterio.160002,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_03,Cemitério Da Terceira Ordem do Carmo,cemiterio_particular_candidato,,,,,,0-250m,0,250,259901.88,17,17,0,71,100.0,76.92,17906.0,13625.0,18503.0,7053.0,20833.0,18027.5,12831.64,DA TERCEIRA ORDEM DO CARMO,"RUA SERGIPE, 83",CONSOLAÇÃO,01243-001,equipamento_cemiterio.160010,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_03,Cemitério Da Terceira Ordem do Carmo,cemiterio_particular_candidato,,,,,,250-500m,250,500,651970.26,39,39,0,163,100.0,80.76,14235.0,12890.0,18324.5,4877.0,23642.0,14235.0,14922.92,DA TERCEIRA ORDEM DO CARMO,"RUA SERGIPE, 83",CONSOLAÇÃO,01243-001,equipamento_cemiterio.160010,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_03,Cemitério Da Terceira Ordem do Carmo,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,2480145.67,173,172,1,666,99.42,74.92,12635.0,7648.0,16713.0,4384.0,44673.0,12019.5,12938.39,DA TERCEIRA ORDEM DO CARMO,"RUA SERGIPE, 83",CONSOLAÇÃO,01243-001,equipamento_cemiterio.160010,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_04,Cemitério De Congonhas,cemiterio_particular_candidato,,,,,,0-250m,0,250,601800.35,31,27,4,119,98.47,88.89,2883.0,2594.0,3276.0,2444.0,3800.0,2603.5,3188.95,DE CONGONHAS,"RUA MINISTRO ALVARO DE SOUSA LIMA, 101",VILA SOFIA,04664-020,equipamento_cemiterio.160015,1,particular_associativo_religioso_ou_nao_concessionado,pendente
