unidade_analise,id_equipamento,nome_oficial,tipo,complexo,bloco_concessao,concessionaria,categoria_tarifaria,destino_gratuidade_hipossuficiencia,anel,distancia_interna_m,distancia_externa_m,area_anel_m2,quadras_intersectadas,quadras_com_pgv,quadras_sem_pgv,registros_face_pgv,cobertura_area_quadras_pgv_pct,cobertura_area_anel_por_quadras_pct,vm2t_faces_mediana,vm2t_faces_q1,vm2t_faces_q3,vm2t_faces_min,vm2t_faces_max,vm2t_mediana_das_quadras,vm2t_media_quadras_ponderada_area
ponto_operacional,cem_consolacao,Cemitério da Consolação,cemiterio,,1,Consolare,1,False,0-250m,0,250,512622.59,34,34,0,138,100.0,74.61,15625.0,13114.5,18473.75,4510.0,23988.0,14895.75,14866.97
ponto_operacional,cem_consolacao,Cemitério da Consolação,cemiterio,,1,Consolare,1,False,250-500m,250,500,896830.75,71,71,0,276,100.0,78.53,13445.0,7970.5,18504.5,4482.0,38466.0,13236.5,14439.72
ponto_operacional,cem_consolacao,Cemitério da Consolação,cemiterio,,1,Consolare,1,False,500-1000m,500,1000,2970143.21,216,215,1,835,98.36,73.7,11776.0,5981.5,17760.0,4340.0,44673.0,9959.5,12921.9
ponto_operacional,cem_quarta_parada,Cemitério da Quarta Parada,cemiterio,,1,Consolare,1,False,0-250m,0,250,650643.01,46,45,1,187,99.86,66.33,2894.0,2627.5,3022.0,1783.0,3926.0,2838.0,2854.11
ponto_operacional,cem_quarta_parada,Cemitério da Quarta Parada,cemiterio,,1,Consolare,1,False,250-500m,250,500,1042664.15,99,98,1,443,99.89,71.47,3063.0,2856.0,3445.0,1736.0,5235.0,2999.25,2981.86
ponto_operacional,cem_quarta_parada,Cemitério da Quarta Parada,cemiterio,,1,Consolare,1,False,500-1000m,500,1000,3261632.53,249,247,2,1103,99.95,73.93,3338.0,3019.5,3549.0,1047.0,5341.0,3306.0,3236.45
ponto_operacional,cem_santana,Cemitério Santana (Chora Menino),cemiterio,,1,Consolare,2,False,0-250m,0,250,399512.91,25,24,1,116,99.94,82.0,1925.0,1699.0,2522.0,1252.0,3499.0,1900.5,2018.25
ponto_operacional,cem_santana,Cemitério Santana (Chora Menino),cemiterio,,1,Consolare,2,False,250-500m,250,500,791241.49,68,68,0,313,100.0,80.43,2115.0,1876.0,2557.0,1437.0,6470.0,2075.5,2176.66
ponto_operacional,cem_santana,Cemitério Santana (Chora Menino),cemiterio,,1,Consolare,2,False,500-1000m,500,1000,2758411.75,189,188,1,854,99.99,79.55,2117.0,1858.75,2781.5,1390.0,6470.0,2113.0,2352.79
ponto_operacional,cem_tremembe,Cemitério do Tremembé,cemiterio,,1,Consolare,2,False,0-250m,0,250,509261.4,57,56,1,221,99.98,74.94,1502.0,1365.0,1696.0,625.0,2219.0,1469.5,1547.32
ponto_operacional,cem_tremembe,Cemitério do Tremembé,cemiterio,,1,Consolare,2,False,250-500m,250,500,897178.18,89,86,3,393,99.93,79.31,1454.0,1306.0,1722.0,602.0,2436.0,1549.25,1447.73
ponto_operacional,cem_tremembe,Cemitério do Tremembé,cemiterio,,1,Consolare,2,False,500-1000m,500,1000,2967251.79,241,233,8,991,85.82,81.18,1365.0,1231.0,1703.0,320.0,13861.0,1342.0,1464.73
ponto_operacional,cem_vila_formosa_i,Cemitério Vila Formosa I,cemiterio,,1,Consolare,4,True,0-250m,0,250,861312.11,76,72,4,311,99.4,80.07,1606.0,1413.0,1834.5,1288.0,2230.0,1536.0,1669.33
ponto_operacional,cem_vila_formosa_i,Cemitério Vila Formosa I,cemiterio,,1,Consolare,4,True,250-500m,250,500,1229723.44,147,134,13,557,98.15,76.42,1580.0,1403.0,1823.0,1280.0,2260.0,1570.0,1633.74
ponto_operacional,cem_vila_formosa_i,Cemitério Vila Formosa I,cemiterio,,1,Consolare,4,True,500-1000m,500,1000,3624419.99,370,360,10,1505,98.36,76.09,1649.0,1403.0,1878.0,693.0,2979.0,1623.25,1654.01
ponto_operacional,cem_vila_formosa_ii,Cemitério Vila Formosa II,cemiterio,,1,Consolare,4,True,0-250m,0,250,801243.44,75,73,2,320,99.96,78.82,1715.5,1431.75,1843.5,716.0,2219.0,1630.5,1701.08
ponto_operacional,cem_vila_formosa_ii,Cemitério Vila Formosa II,cemiterio,,1,Consolare,4,True,250-500m,250,500,1174573.06,132,129,3,562,99.32,80.03,1701.0,1405.0,1822.0,712.0,2186.0,1702.0,1661.05
ponto_operacional,cem_vila_formosa_ii,Cemitério Vila Formosa II,cemiterio,,1,Consolare,4,True,500-1000m,500,1000,3517345.6,353,336,17,1398,98.75,72.7,1530.0,1335.25,1848.75,487.0,2681.0,1504.5,1537.06
ponto_operacional,cem_vila_mariana,Cemitério Vila Mariana,cemiterio,,1,Consolare,1,False,0-250m,0,250,478991.53,47,47,0,209,100.0,71.62,5270.0,4017.0,5832.0,2200.0,8233.0,5104.5,4779.6
ponto_operacional,cem_vila_mariana,Cemitério Vila Mariana,cemiterio,,1,Consolare,1,False,250-500m,250,500,865107.21,79,79,0,366,100.0,76.77,5090.0,3885.25,5642.5,2200.0,13854.0,5358.0,5101.46
ponto_operacional,cem_vila_mariana,Cemitério Vila Mariana,cemiterio,,1,Consolare,1,False,500-1000m,500,1000,2904915.0,208,207,1,917,99.99,73.74,5158.0,3803.0,6044.0,1395.0,14326.0,5167.0,5030.85
ponto_operacional,cem_araca,Cemitério do Araçá,cemiterio,,2,Cortel SP,1,False,0-250m,0,250,766543.21,60,60,0,224,100.0,69.21,4807.0,4731.0,5963.75,4340.0,20341.0,4793.5,7504.06
ponto_operacional,cem_araca,Cemitério do Araçá,cemiterio,,2,Cortel SP,1,False,250-500m,250,500,1152988.66,96,95,1,356,99.91,74.85,5946.5,4736.0,13651.0,4482.0,38466.0,5925.5,10798.18
ponto_operacional,cem_araca,Cemitério do Araçá,cemiterio,,2,Cortel SP,1,False,500-1000m,500,1000,3479104.2,246,241,5,949,98.17,75.03,9264.0,5128.0,19216.0,2822.0,44673.0,7767.0,13447.07
ponto_operacional,cem_dom_bosco,Cemitério Dom Bosco,cemiterio,,2,Cortel SP,3,True,0-250m,0,250,672477.69,5,2,3,10,53.26,75.11,407.0,397.25,618.5,337.0,2089.0,898.0,706.48
ponto_operacional,cem_dom_bosco,Cemitério Dom Bosco,cemiterio,,2,Cortel SP,3,True,250-500m,250,500,1057949.11,9,5,4,18,55.4,62.35,407.0,394.75,585.0,158.0,2089.0,407.0,429.42
ponto_operacional,cem_dom_bosco,Cemitério Dom Bosco,cemiterio,,2,Cortel SP,3,True,500-1000m,500,1000,3290008.02,53,46,7,172,71.47,54.51,652.0,512.25,694.25,133.0,894.0,651.75,493.24
ponto_operacional,cem_santo_amaro,Cemitério Santo Amaro,cemiterio,,2,Cortel SP,2,False,0-250m,0,250,394345.17,36,36,0,169,100.0,77.54,3713.0,3446.0,4669.0,2702.0,8334.0,3675.0,4430.33
ponto_operacional,cem_santo_amaro,Cemitério Santo Amaro,cemiterio,,2,Cortel SP,2,False,250-500m,250,500,783991.61,57,57,0,271,100.0,81.5,3992.0,3466.0,7270.0,1166.0,8392.0,3851.0,4808.05
ponto_operacional,cem_santo_amaro,Cemitério Santo Amaro,cemiterio,,2,Cortel SP,2,False,500-1000m,500,1000,2742606.04,147,147,0,701,100.0,80.9,3635.0,3226.0,5125.0,1150.0,8392.0,3662.0,3964.52
ponto_operacional,cem_sao_paulo,Cemitério São Paulo,cemiterio,,2,Cortel SP,1,False,0-250m,0,250,537803.17,50,48,2,193,99.0,70.9,8662.0,5944.0,13250.0,3969.0,15634.0,8923.5,10567.96
ponto_operacional,cem_sao_paulo,Cemitério São Paulo,cemiterio,,2,Cortel SP,1,False,250-500m,250,500,928877.93,85,85,0,362,100.0,75.87,8740.5,6617.75,13613.25,4511.0,19420.0,9139.0,10816.02
ponto_operacional,cem_sao_paulo,Cemitério São Paulo,cemiterio,,2,Cortel SP,1,False,500-1000m,500,1000,3033933.18,229,226,3,945,99.77,73.65,10243.0,5874.0,14395.0,2890.0,25134.0,10443.75,11234.21
ponto_operacional,cem_vila_nova_cachoeirinha,Cemitério Vila Nova Cachoeirinha,cemiterio,,2,Cortel SP,3,False,0-250m,0,250,751942.79,50,50,0,237,100.0,77.99,1412.0,1313.0,1621.0,596.0,2321.0,1403.75,1171.44
