cd_dist,distrito_ibge,renda_media_responsavel,renda_mediana_responsavel,populacao_branca,populacao_preta,populacao_amarela,populacao_parda,populacao_indigena,populacao_categorias_raca,proporcao_preta_parda
355030801,Água Rasa,6566.57,4000.0,65762.0,3407.0,2309.0,14223.0,35.0,85736.0,0.2056312400858449
355030802,Alto de Pinheiros,14254.93,10000.0,32214.0,891.0,1316.0,2847.0,4.0,37272.0,0.10028976175144881
355030803,Anhanguera,2901.23,2000.0,33317.0,8132.0,202.0,33440.0,109.0,75200.0,0.5528191489361702
355030804,Aricanduva,3544.27,2500.0,54352.0,7720.0,2135.0,25229.0,71.0,89507.0,0.3681164601651267
355030805,Artur Alvim,2977.83,2200.0,51199.0,12737.0,1077.0,30335.0,109.0,95457.0,0.4512188734194454
355030806,Barra Funda,12448.29,8500.0,25141.0,1516.0,2107.0,4613.0,13.0,33390.0,0.18355795148247978
355030807,Bela Vista,8494.53,5001.0,42015.0,3712.0,3060.0,11061.0,59.0,59907.0,0.24659889495384513
355030808,Belém,5532.23,3800.0,32550.0,3465.0,2484.0,15214.0,489.0,54202.0,0.34461827976827425
355030809,Bom Retiro,4233.55,2600.0,15580.0,2513.0,3536.0,11438.0,348.0,33415.0,0.4175071075864133
355030810,Brás,4407.35,3000.0,19486.0,2950.0,2487.0,13513.0,84.0,38520.0,0.4273883696780893
355030811,Brasilândia,2228.79,1600.0,99318.0,35953.0,748.0,106852.0,155.0,243026.0,0.5876120250508176
355030812,Butantã,7408.04,5000.0,35450.0,3655.0,3281.0,8769.0,75.0,51230.0,0.2425141518641421
355030813,Cachoeirinha,2819.71,2000.0,68619.0,19375.0,1165.0,53778.0,114.0,143051.0,0.5113770613277782
355030814,Cambuci,6289.47,4000.0,29880.0,3091.0,2227.0,9873.0,40.0,45111.0,0.2873800181773847
355030815,Campo Belo,12282.9,8000.0,55296.0,2814.0,3024.0,9727.0,15.0,70876.0,0.17694282973079745
355030816,Campo Grande,7793.98,5000.0,79735.0,6898.0,3665.0,25457.0,30.0,115785.0,0.27944034201321416
355030817,Campo Limpo,3243.53,2000.0,103262.0,28892.0,1856.0,101611.0,202.0,235823.0,0.5533938589535372
355030818,Cangaiba,3101.69,2000.0,73202.0,15330.0,1357.0,50306.0,816.0,141011.0,0.46546723305274057
355030819,Capão Redondo,2352.49,1800.0,105314.0,36002.0,689.0,128343.0,126.0,270474.0,0.6076184771918928
355030820,Carrão,5706.49,3500.0,58891.0,4822.0,5621.0,14857.0,86.0,84277.0,0.23350380293555775
355030821,Casa Verde,4470.35,2800.0,48149.0,8705.0,2760.0,20644.0,207.0,80465.0,0.36474243459889394
355030822,Cidade Ademar,2814.38,2000.0,106497.0,34550.0,2026.0,105740.0,115.0,248928.0,0.5635766165316879
355030823,Cidade Dutra,2885.99,2000.0,86361.0,20597.0,2408.0,72765.0,106.0,182237.0,0.5123108918605991
355030824,Cidade Lider,2919.71,2000.0,69510.0,16140.0,1374.0,48549.0,141.0,135714.0,0.4766567929616694
355030825,Cidade Tiradentes,2061.84,1500.0,74123.0,34028.0,209.0,85329.0,168.0,193857.0,0.6156961058924878
355030826,Consolação,11134.02,7500.0,43032.0,2056.0,1726.0,6154.0,4.0,52972.0,0.15498754058748018
355030827,Cursino,6263.82,3500.0,64799.0,8083.0,7783.0,22371.0,22.0,103058.0,0.2955035028818723
355030828,Ermelino Matarazzo,2882.93,2000.0,53807.0,12877.0,777.0,44248.0,98.0,111807.0,0.5109250762474622
355030829,Freguesia do Ó,4207.39,2500.0,82521.0,14833.0,1260.0,38349.0,131.0,137094.0,0.387923614454316
355030830,Grajaú,2063.13,1500.0,144198.0,53073.0,1129.0,185579.0,161.0,384140.0,0.6212630811683241
355030831,Guaianases,2349.29,1800.0,45116.0,15328.0,202.0,48397.0,108.0,109151.0,0.5838242434792169
355030832,Moema,16312.52,10001.0,69951.0,1578.0,3596.0,6538.0,15.0,81678.0,0.09936580229682411
355030833,Iguatemi,2025.76,1500.0,61893.0,19111.0,188.0,68195.0,107.0,149494.0,0.5840100606044389
355030834,Ipiranga,7052.2,3900.0,75665.0,7390.0,5081.0,27422.0,93.0,115651.0,0.30100907039281977
355030835,Itaim Bibi,16111.48,10001.0,85951.0,2192.0,3752.0,9292.0,18.0,101205.0,0.11347265451311694
355030836,Itaim Paulista,2353.52,1500.0,84526.0,26743.0,585.0,93105.0,113.0,205072.0,0.5844191308418507
355030837,Itaquera,3209.9,2000.0,102122.0,27319.0,1672.0,79430.0,91.0,210634.0,0.5067985225557128
355030838,Jabaquara,5179.76,2750.0,115314.0,24259.0,9521.0,65495.0,144.0,214733.0,0.41797953737897764
355030839,Jaçanã,3130.16,2000.0,46228.0,10270.0,691.0,29541.0,88.0,86818.0,0.45855698127116495
355030840,Jaguara,3637.1,2500.0,15749.0,1900.0,309.0,6750.0,3.0,24711.0,0.3500465379790377
355030841,Jaguaré,5376.38,3000.0,30862.0,5142.0,1605.0,17671.0,45.0,55325.0,0.41234523271577045
355030842,Jaraguá,2658.52,2000.0,99692.0,27664.0,883.0,82403.0,488.0,211130.0,0.5213233552787382
355030843,Jardim Ângela,1991.3,1500.0,108540.0,42311.0,342.0,159806.0,60.0,311059.0,0.6497706222935199
355030844,Jardim Helena,2048.07,1500.0,49263.0,15998.0,257.0,63708.0,65.0,129291.0,0.6164852928664795
355030845,Jardim Paulista,14796.54,10000.0,69024.0,1997.0,3487.0,7121.0,6.0,81635.0,0.11169228884669566
355030846,Jardim São Luís,2720.6,2000.0,109486.0,33459.0,939.0,115066.0,116.0,259066.0,0.5733095041418017
355030847,José Bonifácio,2531.83,2000.0,57380.0,20011.0,373.0,50139.0,62.0,127965.0,0.5481967725549955
355030848,Lapa,10607.68,7000.0,61221.0,2698.0,2151.0,9287.0,32.0,75389.0,0.15897544734642985
355030849,Liberdade,8138.01,5000.0,42030.0,3562.0,9635.0,10685.0,49.0,65961.0,0.2159912675671988
355030850,Limão,4098.48,3000.0,49172.0,9730.0,1382.0,21956.0,67.0,82307.0,0.38497333155138685
355030851,Mandaqui,5392.24,3001.0,69668.0,8703.0,2857.0,22235.0,103.0,103566.0,0.29872738157310313
355030852,Marsilac,1679.69,1212.0,4348.0,1191.0,39.0,5606.0,209.0,11393.0,0.5965944000702186
355030853,Mooca,7487.28,5000.0,61974.0,3062.0,3610.0,11996.0,172.0,80814.0,0.18632910139332293
355030854,Morumbi,13488.17,8000.0,31979.0,2258.0,1151.0,7829.0,352.0,43569.0,0.23151782230484977
355030855,Parelheiros,2000.13,1500.0,57973.0,19985.0,515.0,73053.0,905.0,152431.0,0.6103614094245922
355030856,Pari,4791.18,3200.0,9101.0,1050.0,1566.0,5470.0,155.0,17342.0,0.375965863222235
355030857,Parque do Carmo,3197.01,2000.0,37357.0,8293.0,661.0,28133.0,42.0,74486.0,0.4890314958515694
355030858,Pedreira,2142.64,1600.0,63307.0,22148.0,545.0,77294.0,73.0,163367.0,0.6087031040540624
355030859,Penha,4047.14,3000.0,82927.0,11527.0,2314.0,35191.0,284.0,132243.0,0.3532738972951309
355030860,Perdizes,11667.22,8000.0,86166.0,3061.0,3432.0,9474.0,44.0,102177.0,0.12267927224326414
355030861,Perus,2483.88,1800.0,39017.0,11796.0,257.0,36426.0,53.0,87549.0,0.5508001233594901
355030862,Pinheiros,14085.28,10000.0,54575.0,1818.0,2981.0,5571.0,40.0,64985.0,0.11370316226821574
355030863,Pirituba,4082.46,2800.0,108650.0,17165.0,1368.0,52042.0,80.0,179305.0,0.3859736203675302
355030864,Ponte Rasa,3205.07,2100.0,49837.0,9725.0,1424.0,28741.0,68.0,89795.0,0.42837574475193496
355030865,Raposo Tavares,3596.37,2000.0,55448.0,15691.0,1548.0,44733.0,94.0,117514.0,0.5141855438500944
355030866,República,5883.83,4000.0,33683.0,6913.0,2341.0,17498.0,199.0,60634.0,0.40259590328858397
355030867,Rio Pequeno,5287.46,3000.0,70502.0,14863.0,4697.0,41210.0,188.0,131460.0,0.4265403925148334
355030868,Sacomã,3844.21,2500.0,146432.0,24687.0,4772.0,85048.0,154.0,261093.0,0.4202908542166967
355030869,Santa Cecília,7571.83,5000.0,57604.0,5202.0,2476.0,15385.0,68.0,80735.0,0.2549947358642472
355030870,Santana,8368.55,5001.0,88914.0,5317.0,4289.0,14966.0,40.0,113526.0,0.1786639183975477
355030871,Santo Amaro,11732.3,7500.0,67586.0,2710.0,3989.0,10931.0,12.0,85228.0,0.16005303421410805
355030872,São Lucas,3614.11,2600.0,90383.0,9754.0,2786.0,34971.0,36.0,137930.0,0.32425868194011453
355030873,São Mateus,2914.2,2001.0,83731.0,15530.0,1859.0,54358.0,73.0,155551.0,0.44929315787105195
