feature_id,geometry_type,x_31983,y_31983,longitude,latitude,cd_cep_equipamento,cd_equipamento,cd_equipamento_base_origem,cd_identificador,cd_identificador_classe_equipamento,cd_identificador_esfera_administrativa_equipamento,cd_identificador_rede_equipamento,cd_identificador_tema_equipamento,cd_identificador_tipo_equipamento,nm_bairro_equipamento,nm_classe_equipamento,nm_equipamento,nm_esfera_administrativa_equipamento,nm_rede_equipamento,nm_tema_equipamento,nm_tipo_equipamento,tx_classe_equipamento,tx_endereco_equipamento,tx_esfera_administrativa_equipamento,tx_horario_funcionamento,tx_numero_telefone,tx_rede_equipamento,tx_tipo_equipamento
equipamento_cemiterio.160001,Polygon,,,,,04892-170,,,160001,5,1,0,8,0,COLÔNIA,CEMITERIO,DA COLÔNIA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA SACHIO NAKAO, 28",ADMINISTRACAO MUNICIPAL,07h As 18h,5921-9808,Sem descrição,SEM TIPO
equipamento_cemiterio.160002,Polygon,,,,,05711-000,,,160002,5,1,0,8,0,JARDIM VAZANI,CEMITERIO,DA PAZ,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA DR. LUIZ MIGLIANO, 644",ADMINISTRACAO MUNICIPAL,07h As 18h,3742-8584,Sem descrição,SEM TIPO
equipamento_cemiterio.160003,Polygon,,,,,04966-180,,,160003,5,1,0,8,0,JARDIM ANGELA,CEMITERIO,MEMORIAL PARQUE DAS CEREJEIRAS,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. PARQUE DAS CEREJEIRAS, 300",ADMINISTRACAO MUNICIPAL,08h As 17h,5517-0717,Sem descrição,SEM TIPO
equipamento_cemiterio.160004,Polygon,,,,,04866-180,,,160004,5,1,0,8,0,PARELHEIROS,CEMITERIO,PARQUE DOS GIRASSÓIS,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. SADAMU INOUE, 6061",ADMINISTRACAO MUNICIPAL,07h As 19h,5920-8925,Sem descrição,SEM TIPO
equipamento_cemiterio.160005,Polygon,,,,,05276-000,,,160005,5,1,0,8,0,VILA SULINA,CEMITERIO,PARQUE CEMITÉRIO GETHSÊMANI ANHANGUERA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RODOVIA ANHANGUERA, KM 23,4 S/N",ADMINISTRACAO MUNICIPAL,08h As 17h,3912-6200,Sem descrição,SEM TIPO
equipamento_cemiterio.160007,Polygon,,,,,05276-000,,,160007,5,1,0,8,0,VILA SULINA,CEMITERIO,PARQUE JARAGUÁ,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"VIA ANHANGUERA  KM 23,2",ADMINISTRACAO MUNICIPAL,07h As 18h,3916-6329,Sem descrição,SEM TIPO
equipamento_cemiterio.160006,Polygon,,,,,02323-000,,,160006,5,1,0,8,0,VILA NOVA GALVÃO,CEMITERIO,PARQUE DOS PINHEIROS,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA USHIKICHI KAMIYA, 71",ADMINISTRACAO MUNICIPAL,08h As 17h,2241-0300,Sem descrição,SEM TIPO
equipamento_cemiterio.160008,Polygon,,,,,02353-100,,,160008,5,1,0,8,0,PARQUE RAMOS FREITAS,CEMITERIO,HORTO FLORESTAL,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA LUIZ NUNES, 111",ADMINISTRACAO MUNICIPAL,07h As 18h,2952-2033,Sem descrição,SEM TIPO
equipamento_cemiterio.160009,Polygon,,,,,01243-001,,,160009,5,1,0,8,0,CONSOLAÇÃO,CEMITERIO,DOS PROTESTANTES,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA SERGIPE, 177",ADMINISTRACAO MUNICIPAL,07h As 18h,3256-5844,Sem descrição,SEM TIPO
equipamento_cemiterio.160010,Polygon,,,,,01243-001,,,160010,5,1,0,8,0,CONSOLAÇÃO,CEMITERIO,DA TERCEIRA ORDEM DO CARMO,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA SERGIPE, 83",ADMINISTRACAO MUNICIPAL,08h As 17h,3256-4471,Sem descrição,SEM TIPO
