CD_DIST,NM_DIST,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_NU,NM_NU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,AREA_KM2,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009
355030801,Água Rasa,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"7,1348830",85788,41161,41132,29,"2,4","0,0559",35242,587,5303
355030802,Alto de Pinheiros,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"7,4964787",37359,17931,17911,20,"2,3","0,2208",15778,381,1752
355030803,Anhanguera,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,355030800057,Aldeia Indígena Ita Endy,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"33,4309850",75360,30340,30332,8,"2,9","0,1867",26369,344,3619
355030804,Aricanduva,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"6,8471880",89574,37225,37218,7,"2,8","0,1518",32289,314,4615
355030805,Artur Alvim,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"6,5155665",95575,40976,40974,2,"2,7","0,1181",35858,410,4706
355030806,Barra Funda,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"5,8846708",33436,16962,16726,236,"2,3","0,1557",14580,360,1786
355030807,Bela Vista,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"2,7607555",60024,41033,40790,243,"1,9","0,1124",31184,2923,6683
355030808,Belém,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"6,1215602",55785,25449,25345,104,"2,6","0,0889",20836,556,3953
355030809,Bom Retiro,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"4,2643009",33520,15050,14906,144,"2,6","0,1465",12397,615,1894
355030810,Brás,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"3,6379691",38750,19761,19723,38,"2,3","0,1544",16183,602,2938
355030811,Brasilândia,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"21,0370673",243273,97857,97853,4,"2,8","0,0697",86713,625,10515
355030812,Butantã,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"12,8873061",51715,25984,25838,146,"2,4","0,1289",21386,995,3457
355030813,Cachoeirinha,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"13,5575760",143366,58574,58562,12,"2,7","0,0722",52403,305,5854
355030814,Cambuci,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"3,9327128",45163,21929,21904,25,"2,3","0,1622",19094,334,2476
355030815,Campo Belo,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"8,8427440",71034,36663,36577,86,"2,3","0,1289",30581,1431,4565
355030816,Campo Grande,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"12,9913247",115925,50009,49997,12,"2,6","0,1014",44486,571,4940
355030817,Campo Limpo,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"12,5798363",236162,97934,97923,11,"2,7","0,0765",87484,723,9716
355030818,Cangaiba,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"13,7572955",141172,58654,58637,17,"2,7","0,1237",51568,551,6518
355030819,Capão Redondo,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"13,7918009",270767,110144,110125,19,"2,7","0,0911",99035,712,10378
355030820,Carrão,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"7,7853981",84397,37987,37939,48,"2,6","0,1149",31976,357,5606
355030821,Casa Verde,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"7,1559150",80536,35698,35666,32,"2,7","0,1716",30143,291,5232
355030822,Cidade Ademar,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"12,2331904",249218,103713,103692,21,"2,7","0,1009",91371,797,11524
355030823,Cidade Dutra,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"27,7232789",182459,72013,71991,22,"2,8","0,1223",64980,594,6417
355030824,Cidade Lider,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"10,5581848",136660,54530,54521,9,"2,8","0,1635",48258,459,5804
