CD_DIST,NM_DIST,V01317,V01318,V01319,V01320,V01321,V01322,V01323,V01324,V01325,V01326,V01327,V01328,V01329,V01330,V01331,V01332,V01333,V01334,V01335,V01336,V01337,V01338,V01339,V01340,V01341,V01342,V01343,V01344,V01345,V01346,V01347,V01348,V01349,V01350,V01351,V01352,V01353,V01354,V01355,V01356,V01357,V01358,V01359,V01360,V01361,V01362,V01363,V01364,V01365,V01366,V01367,V01368,V01369,V01370,V01371,V01372,V01373,V01374,V01375,V01376,V01377,V01378,V01379,V01380,V01381,V01382,V01383,V01384,V01385,V01386,V01387,V01388,V01389,V01390,V01391,V01392,V01393,V01394,V01395,V01396,V01397,V01398,V01399,V01400,V01401,V01402,V01403,V01404,V01405,V01406,V01407,V01408,V01409,V01410,V01411
355030801,Água Rasa,65762,3407,2309,14223,35,29901,1632,1097,6903,9,35861,1725,1139,7320,11,26918,1387,904,5927,0,12383,14535,588,652,411,341,2857,3060,0,0,18,603,5534,10355,10252,0,16,300,425,261,0,0,58,274,270,3,204,1714,2380,1427,0,0,0,0,0,8539,285,174,2178,4,10219,647,181,3039,5,29609,1653,999,6651,4,17395,542,632,2320,0,2885,53,26,632,0,27013,1496,1014,6203,6,2748,16,12,601,0,33113,1618,1054,6640,6
355030802,Alto de Pinheiros,32214,891,1316,2847,4,14609,326,512,1323,0,17605,473,708,1508,4,13555,302,515,1246,0,6891,6664,81,149,200,176,606,550,0,0,0,143,2468,4919,5923,0,0,38,56,49,0,0,24,109,181,0,3,288,455,233,0,0,0,0,0,3974,30,43,290,3,4930,142,78,434,0,13331,378,472,1459,0,9978,137,434,476,0,1281,3,3,52,0,13305,309,477,1207,0,1183,0,3,47,0,16416,447,672,1379,0
355030803,Anhanguera,33317,8132,202,33440,109,15604,4188,73,16601,38,17709,3932,76,16839,49,11001,3293,46,11866,17,5375,5617,1675,1597,17,3,5996,5856,4,11,11,463,2722,4961,2705,3,107,1007,1464,483,0,0,0,6,17,27,678,3654,5334,2054,0,3,3,4,0,6894,1061,0,6696,26,7635,2064,10,8465,22,14071,4061,52,14963,30,4697,831,50,3294,0,2384,270,0,2165,6,13210,3837,72,14426,31,2297,257,0,2133,7,15406,3575,71,14697,34
355030804,Aricanduva,54352,7720,2135,25229,71,25112,3734,973,12201,29,29240,3985,1100,13028,26,19122,3103,725,9241,3,8937,10185,1405,1660,327,271,4418,4821,0,3,42,639,3835,7630,6856,3,68,774,1230,782,0,0,16,177,335,14,349,2373,3855,2481,0,0,0,0,0,8744,913,128,4300,17,10602,1665,219,5652,29,22906,3695,775,11152,0,12098,1340,760,4113,0,2941,218,12,1324,11,22170,3408,912,10847,9,2889,187,10,1318,0,26348,3704,1040,11688,18
355030805,Artur Alvim,51199,12737,1077,30335,109,23022,5935,438,14237,38,28177,6800,509,16098,34,18807,5197,370,11307,3,8476,10330,2254,2936,129,97,5153,6154,0,0,10,509,3920,7297,6907,0,97,1230,2099,1556,0,0,10,26,159,7,320,2715,4682,3396,0,0,0,0,0,8121,1608,38,5105,10,10197,2659,67,6575,16,21585,5943,336,13205,18,11294,2474,341,5448,0,2731,352,6,1639,3,20288,5450,407,12565,24,2671,354,15,1492,0,25501,6309,472,14565,23
355030806,Barra Funda,25141,1516,2107,4613,13,11609,695,968,2269,4,13532,754,1087,2339,6,10937,662,799,2105,6,5265,5667,263,312,402,299,1027,1036,0,3,12,280,3839,4236,2476,5,14,220,194,58,0,6,213,280,86,5,60,814,794,261,0,0,3,0,0,4115,103,300,661,0,4093,302,320,929,0,12886,782,1036,2421,4,4036,140,285,456,0,1481,33,60,189,0,10110,646,866,2019,4,1457,15,57,174,0,12058,705,970,2103,6
355030807,Bela Vista,42015,3712,3060,11061,59,19925,1734,1271,5518,21,22090,1867,1659,5528,8,22293,1840,1507,5432,12,10894,11397,773,882,666,663,2781,2604,0,0,6,1293,7904,6520,6444,0,23,645,462,281,0,7,312,369,397,0,211,2168,1854,841,0,0,0,0,0,3337,208,141,1034,3,9316,837,390,2772,0,19634,1801,1353,5619,21,9689,514,770,1377,3,1107,26,20,235,0,18723,1654,1181,5153,20,951,21,10,284,3,21038,1782,1584,5145,4
355030808,Belém,32550,3465,2484,15214,489,14983,1747,1236,7549,230,17567,1712,1219,7663,230,13019,1392,888,5451,111,6099,6918,625,714,499,297,2777,2669,66,12,15,405,3414,4804,4294,0,23,455,547,140,0,21,311,269,106,3,278,2033,2127,905,0,0,41,31,0,4616,379,375,3016,109,6073,768,459,3816,144,14615,1802,1223,6857,172,7244,383,280,1498,3,1552,79,118,945,26,13426,1605,1085,6568,187,1486,77,90,994,31,16074,1584,1093,6633,184
355030809,Bom Retiro,15580,2513,3536,11438,348,7377,1239,1730,5668,175,8203,1260,1774,5770,156,5967,1068,1359,3940,80,2900,3067,442,562,808,530,2009,1927,37,6,0,205,1636,2234,1815,0,40,327,403,122,0,29,310,495,449,6,235,1433,1634,548,0,0,31,3,0,2588,274,345,2376,62,3221,659,670,3083,96,6844,1223,1514,5042,128,2924,224,964,925,0,890,63,89,750,24,6470,1127,1617,4899,128,861,63,59,765,9,7328,1161,1686,4985,128
355030810,Brás,19486,2950,2487,13513,84,9441,1621,1256,7003,38,10045,1299,1181,6510,26,8382,1357,975,5355,14,4210,4170,661,619,613,289,2901,2448,8,3,9,411,3051,2960,1849,5,66,515,433,90,0,19,370,288,167,0,360,2257,1941,651,0,0,3,4,0,2657,307,317,2287,6,4483,726,478,3786,23,9336,1524,1218,6325,29,2998,206,329,1085,0,907,61,74,676,3,8500,1511,1151,6272,26,856,93,99,756,0,9143,1168,1051,5713,23
