CD_DIST,NM_DIST,PERE0115_NOVA,V06001,V06002,V06003,V06004,V06005,V06006
355030801,Água Rasa,4000,35192,85483,"1,60","6566,57","50802297,69",4000
355030802,Alto de Pinheiros,10000,15778,37011,"1,45","14254,93","641412466,62",10000
355030803,Anhanguera,2000,26349,75248,"1,85","2901,23","24226476,06",2000
355030804,Aricanduva,2500,32164,89193,"1,90","3544,27","18748150,84",2500
355030805,Artur Alvim,2200,35842,95531,"1,85","2977,83","49814313,95",2200
355030806,Barra Funda,8500,14575,33279,"1,37","12448,29","1122498259,86",8500
355030807,Bela Vista,5001,31128,59332,"1,14","8494,53","161567499,00",5001
355030808,Belém,3800,20795,53099,"1,95","5532,23","46309961,16",3800
355030809,Bom Retiro,2600,12119,31975,"2,10","4233,55","27519256,79",2600
355030810,Brás,3000,16123,37692,"1,76","4407,35","17606988,88",3000
355030811,Brasilândia,1600,86692,243194,"2,19","2228,79","54023840,72",1600
355030812,Butantã,5000,21372,50689,"1,55","7408,04","129437240,79",5000
355030813,Cachoeirinha,2000,52189,142737,"2,00","2819,71","28796196,67",2000
355030814,Cambuci,4000,18899,44321,"1,55","6289,47","108214806,70",4000
355030815,Campo Belo,8000,30432,70273,"1,50","12282,90","946763731,21",8000
355030816,Campo Grande,5000,44472,115822,"1,53","7793,98","542683595,79",5000
355030817,Campo Limpo,2000,87289,235599,"1,80","3243,53","44902449,02",2000
355030818,Cangaiba,2000,51550,141052,"1,93","3101,69","13278948,09",2000
355030819,Capão Redondo,1800,98990,270503,"1,93","2352,49","4879626,20",1800
355030820,Carrão,3500,31971,83690,"1,65","5706,49","98006384,33",3500
355030821,Casa Verde,2800,30134,80345,"1,88","4470,35","95544321,89",2800
355030822,Cidade Ademar,2000,91330,248858,"1,96","2814,38","11645813,88",2000
355030823,Cidade Dutra,2000,64935,182138,"2,03","2885,99","10341987,82",2000
355030824,Cidade Lider,2000,47583,134906,"1,89","2919,71","10298043,01",2000
355030825,Cidade Tiradentes,1500,67221,193224,"2,14","2061,84","4131132,42",1500
355030826,Consolação,7500,27419,52945,"1,12","11134,02","742194450,52",7500
355030827,Cursino,3500,39327,102922,"1,70","6263,82","115026156,30",3500
355030828,Ermelino Matarazzo,2000,40174,111803,"1,89","2882,93","294432736,37",2000
355030829,Freguesia do Ó,2500,51263,136765,"1,79","4207,39","31731033,80",2500
355030830,Grajaú,1500,133257,384159,"2,13","2063,13","13602553,37",1500
355030831,Guaianases,1800,38209,108609,"2,03","2349,29","5933395,87",1800
355030832,Moema,10001,37513,81714,"1,28","16312,52","2883854454,79",10001
355030833,Iguatemi,1500,51228,149421,"2,01","2025,76","26790211,57",1500
355030834,Ipiranga,3900,46116,114515,"1,60","7052,20","429352290,12",3900
