id_agencia,bloco_concessao,concessionaria,endereco_oficial,bairro_publicado,fonte,status_geocodificacao,observacoes
ag_b1_01,1,Consolare,"Avenida Salim Farah Maluf, s/n",Tatuapé,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b1_02,1,Consolare,"Rua Santo Elias, 63",Tatuapé,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b1_03,1,Consolare,"Rua Batista Caetano, 302",Aclimação,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b1_04,1,Consolare,"Rua Nova dos Portugueses, 146",Chora Menino,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b1_05,1,Consolare,"Avenida João XXIII, 2537",Vila Formosa,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b1_06,1,Consolare,"Rua da Consolação, 1660",Consolação,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b1_07,1,Consolare,"Rua Maestro Cardim, 1262",Bela Vista,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b2_01,2,Cortel SP,"Alameda Santos, 200",Bela Vista,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b2_02,2,Cortel SP,"Rua Irmã Gabriela, 51",Berrini,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b2_03,2,Cortel SP,"Rua Tabajaras, 439",Mooca,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b2_04,2,Cortel SP,"Rua Iosusuke Okaue, 911",Itaquera,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
ag_b2_05,2,Cortel SP,"Avenida Doutor Arnaldo, 300",Cerqueira César,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,pendente,
