id_equipamento,nome_oficial,tipo,unidade_memorial_contratual,bloco_concessao,concessionaria,endereco_oficial,cep_publicado,cep_normalizado,categoria_tarifaria,destino_gratuidade_hipossuficiencia,modalidade_gratuita,tarifa_sepultamento_avulso_2026,referencia_tarifaria,fonte_endereco,fonte_bloco,fonte_categoria,fonte_gratuidade,observacoes
cem_consolacao,Cemitério da Consolação,cemiterio,Consolação,1,Consolare,"Rua da Consolação, 1660",01302-001,01302-001,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_quarta_parada,Cemitério da Quarta Parada,cemiterio,Quarta Parada,1,Consolare,"Avenida Salim Farah Maluf, 3303",03303-010,03303-010,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_santana,Cemitério Santana (Chora Menino),cemiterio,Santana,1,Consolare,"Rua Nova dos Portugueses, 141",02462-080,02462-080,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_tremembe,Cemitério do Tremembé,cemiterio,Tremembé,1,Consolare,"Avenida Maria Amália Lopes de Azevedo, 2930",02350-003,02350-003,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_vila_formosa_i,Cemitério Vila Formosa I,cemiterio,Vila Formosa I e II,1,Consolare,"Avenida Flor de Vila Formosa, s/n",03366-010,03366-010,4,True,sepultamento,592.95,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"Vila Formosa I e II compartilham um memorial contratual, mas são pontos operacionais distintos."
cem_vila_formosa_ii,Cemitério Vila Formosa II,cemiterio,Vila Formosa I e II,1,Consolare,"Avenida João XXIII, 2537",,,4,True,sepultamento,592.95,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"Vila Formosa I e II compartilham um memorial contratual, mas são pontos operacionais distintos. CEP a confirmar no GeoSampa."
cem_vila_mariana,Cemitério Vila Mariana,cemiterio,Vila Mariana,1,Consolare,"Avenida Lacerda Franco, 2012",01536-001,01536-001,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_araca,Cemitério do Araçá,cemiterio,Araçá,2,Cortel SP,"Avenida Doutor Arnaldo, 300",01246-000,01246-000,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_dom_bosco,Cemitério Dom Bosco,cemiterio,Dom Bosco,2,Cortel SP,"Estrada do Pinheirinho, 860",05215-000,05215-000,3,True,sepultamento,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_santo_amaro,Cemitério Santo Amaro,cemiterio,Santo Amaro,2,Cortel SP,"Rua Ministro Roberto Cardoso Alves, 186",04737-000,04737-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
